0, 1, 2, 0
15, 2, 2, 1
923, 2, 2, 1
1, 3, 3, 1
14, 2, 2, 1
1, 2, 2, 1
15, 4, 3, 1
1, 16, 12, 1
0, 2, 2, 1
235, 3, 3, 1
2582, 2, 2, 1
267, 2, 2, 1
287, 2, 2, 1
292, 2, 2, 1
298, 3, 3, 1
0, 2, 2, 1
309, 4, 4, 1
326, 4, 4, 1
35, 8, 4, 2
38, 2, 2, 1
394, 2, 2, 1
438, 5, 5, 1
50, 8, 8, 1
51, 4, 3, 1
528, 2, 2, 1
54, 4, 4, 1
55, 2, 2, 1
5778, 2, 2, 1
63, 4, 2, 2
65, 2, 2, 1
690, 2, 2, 1
78, 2, 1, 2
82, 2, 1, 2
834, 2, 2, 1
912, 2, 2, 1
993, 2, 1, 2
1037, 2, 2, 1
1, 5, 5, 1
113, 2, 2, 1
1, 7, 7, 1
11, 2, 2, 1
1, 2, 2, 1
11, 2, 2, 1
118, 2, 2, 1
1, 4, 4, 1
12, 2, 2, 1
1, 20, 13, 1
128, 2, 2, 1
1, 2, 2, 1
128, 2, 2, 1
1, 6, 6, 1
12, 2, 2, 1
1300, 2, 2, 1
1, 6, 6, 1
13, 7, 5, 1
1, 4, 4, 1
13, 6, 4, 1
1, 2, 1, 2
13, 2, 2, 1
1, 70, 39, 1
138, 3, 3, 1
1, 2, 2, 1
138, 7, 7, 1
1, 18, 13, 1
139, 2, 2, 1
1, 5, 5, 1
139, 2, 2, 1
1, 2, 2, 1
139, 4, 4, 1
1, 2, 2, 1
139, 2, 2, 1
1, 11, 11, 1
140, 4, 4, 1
1, 4, 4, 1
140, 3, 3, 1
1, 2, 1, 2
140, 2, 2, 1
1, 2, 2, 1
14, 3, 2, 1
1, 13, 12, 1
14, 2, 2, 1
1, 16, 15, 1
14, 2, 2, 1
1, 7, 7, 1
14, 2, 2, 1
1, 5, 5, 1
14, 2, 2, 1
1, 5, 5, 1
14, 2, 2, 1
1, 21, 21, 1
14, 2, 2, 1
1, 3, 3, 1
14, 2, 2, 1
1, 2, 2, 1
14, 2, 2, 1
1, 3, 3, 1
143, 3, 3, 1
14, 2, 2, 1
1, 9, 8, 1
14, 3, 3, 1
1, 3, 3, 1
14, 4, 3, 1
1, 2, 2, 1
14, 2, 2, 1
1, 11, 10, 1
14, 4, 3, 1
1, 17, 16, 1
145, 2, 2, 1
1, 8, 8, 1
14, 2, 2, 1
1, 3, 2, 1
14, 4, 4, 1
1, 11, 10, 1
14, 2, 2, 1
1, 2, 2, 1
14, 3, 3, 1
1, 17, 17, 1
14, 3, 2, 1
1, 14, 13, 1
14835, 2, 2, 1
1, 21, 14, 1
14, 2, 2, 1
1, 2, 2, 1
14, 2, 2, 1
1, 8, 8, 1
15047, 2, 2, 1
1, 35, 33, 1
15, 2, 2, 1
1, 770, 683, 1
157, 2, 2, 1
1, 105, 85, 1
159, 2, 2, 1
1, 14, 14, 1
159, 2, 2, 1
1, 91, 91, 1
160, 2, 1, 2
1, 14, 14, 1
160, 2, 2, 1
1, 19, 19, 1
160, 2, 2, 1
1, 144, 127, 1
163, 2, 2, 1
1, 13, 13, 1
163, 3, 3, 1
1, 12, 12, 1
163, 2, 2, 1
1, 21, 21, 1
163, 2, 2, 1
1, 88, 84, 1
165, 2, 2, 1
1, 5, 5, 1
165, 2, 2, 1
1, 417, 375, 1
173, 2, 2, 1
1, 7, 7, 1
173, 2, 2, 1
1, 3, 3, 1
173, 2, 2, 1
1, 2, 2, 1
173, 2, 2, 1
1, 15, 15, 1
173, 2, 2, 1
1, 305, 237, 1
182, 2, 2, 1
1, 6, 6, 1
182, 2, 2, 1
1, 3, 3, 1
182, 2, 2, 1
1, 6, 6, 1
182, 2, 2, 1
1, 35, 35, 1
18, 3, 2, 1
1, 2, 2, 1
18, 2, 2, 1
1, 12, 12, 1
185, 2, 2, 1
1, 3, 3, 1
185, 2, 2, 1
1, 5, 5, 1
185, 2, 2, 1
1, 146, 146, 1
1882, 2, 2, 1
1, 6, 6, 1
1887, 2, 2, 1
1, 6, 6, 1
1894, 2, 2, 1
1, 16, 16, 1
190, 2, 2, 1
1, 4, 4, 1
190, 3, 3, 1
1, 219, 219, 1
193, 2, 2, 1
1, 3, 3, 1
193, 2, 2, 1
1, 6, 6, 1
1952, 2, 2, 1
1, 20, 17, 1
1991, 2, 2, 1
1, 2, 2, 1
20, 5, 2, 2
2, 2, 2, 1
212, 2, 2, 1
2, 2, 2, 1
212, 2, 2, 1
213, 6, 6, 1
214, 2, 2, 1
2157, 2, 2, 1
2, 140, 103, 1
217, 2, 2, 1
2, 55, 52, 1
217, 2, 2, 1
2, 471, 219, 2
220, 2, 2, 1
2, 5, 5, 1
220, 6, 6, 1
2, 24, 19, 1
220, 5, 5, 1
2, 15, 15, 1
220, 5, 5, 1
2, 13, 13, 1
220, 2, 2, 1
2, 4, 4, 1
220, 2, 2, 1
